Element_ID,Ring,r_mm,theta_deg,X_mm,Y_mm
E00,Center,0.00,0.00,0.00,0.00
E01,Ring1,19.50,0.00,19.50,0.00
E02,Ring1,19.50,51.43,12.16,15.25
E03,Ring1,19.50,102.86,-4.34,19.01
E04,Ring1,19.50,154.29,-17.57,8.46
E05,Ring1,19.50,205.71,-17.57,-8.46
E06,Ring1,19.50,257.14,-4.34,-19.01
E07,Ring1,19.50,308.57,12.16,-15.25
E08,Ring2,37.00,0.00,37.00,0.00
E09,Ring2,37.00,40.00,28.34,23.78
E10,Ring2,37.00,80.00,6.42,36.44
E11,Ring2,37.00,120.00,-18.50,32.04
E12,Ring2,37.00,160.00,-34.77,12.65
E13,Ring2,37.00,200.00,-34.77,-12.65
E14,Ring2,37.00,240.00,-18.50,-32.04
E15,Ring2,37.00,280.00,6.42,-36.44
E16,Ring2,37.00,320.00,28.34,-23.78
E17,Ring3,58.00,0.00,58.00,0.00
E18,Ring3,58.00,24.00,52.99,23.59
E19,Ring3,58.00,48.00,38.81,43.10
E20,Ring3,58.00,72.00,17.92,55.16
E21,Ring3,58.00,96.00,-6.06,57.68
E22,Ring3,58.00,120.00,-29.00,50.23
E23,Ring3,58.00,144.00,-46.92,34.09
E24,Ring3,58.00,168.00,-56.73,12.06
E25,Ring3,58.00,192.00,-56.73,-12.06
E26,Ring3,58.00,216.00,-46.92,-34.09
E27,Ring3,58.00,240.00,-29.00,-50.23
E28,Ring3,58.00,264.00,-6.06,-57.68
E29,Ring3,58.00,288.00,17.92,-55.16
E30,Ring3,58.00,312.00,38.81,-43.10
E31,Ring3,58.00,336.00,52.99,-23.59
