case,distance_m,theta_x_deg,theta_y_deg,method,max_sidelobe_db,p99_sidelobe_db,p95_sidelobe_db,target_gain_loss_db,dBc,mean_amp,min_amp,max_amp
R0.2_x0_y0,0.2,0.0,0.0,uniform,-3.125430,-5.193018,-10.230235,0.000000,,1.000000,1.000000,1.000000
R0.2_x0_y0,0.2,0.0,0.0,focus_opt,-5.073944,-7.038383,-7.940852,-6.714031,5.073944,0.547060,0.000000,0.813594
R0.2_x15_y0,0.2,15.0,0.0,uniform,-2.004231,-4.722154,-7.316493,0.000000,,1.000000,1.000000,1.000000
R0.2_x15_y0,0.2,15.0,0.0,focus_opt,-3.712565,-5.292761,-6.351037,-4.054952,3.712565,0.680452,0.198450,0.951303
R0.2_x-15_y0,0.2,-15.0,0.0,uniform,-2.004037,-4.488405,-7.132550,0.000000,,1.000000,1.000000,1.000000
R0.2_x-15_y0,0.2,-15.0,0.0,focus_opt,-3.724270,-5.185615,-6.301192,-4.844812,3.724270,0.619354,0.174851,1.000000
R0.2_x0_y15,0.2,0.0,15.0,uniform,-2.004552,-4.716021,-7.156841,0.000000,,1.000000,1.000000,1.000000
R0.2_x0_y15,0.2,0.0,15.0,focus_opt,-3.694700,-5.185920,-6.300120,-4.308894,3.694700,0.642507,0.180353,1.000000
R0.5_x0_y0,0.5,0.0,0.0,uniform,-3.331683,-5.564788,-11.020023,0.000000,,1.000000,1.000000,1.000000
R0.5_x0_y0,0.5,0.0,0.0,focus_opt,-5.354259,-7.596835,-8.261707,-5.500609,5.354259,0.597364,0.133042,0.879988
R0.5_x15_y0,0.5,15.0,0.0,uniform,-2.115343,-4.524386,-7.160491,0.000000,,1.000000,1.000000,1.000000
R0.5_x15_y0,0.5,15.0,0.0,focus_opt,-3.732860,-5.301802,-6.322725,-3.324988,3.732860,0.731534,0.212560,0.996662
R0.5_x-15_y0,0.5,-15.0,0.0,uniform,-2.114865,-4.260208,-7.094218,0.000000,,1.000000,1.000000,1.000000
R0.5_x-15_y0,0.5,-15.0,0.0,focus_opt,-3.716835,-5.252182,-6.316615,-3.710489,3.716835,0.695862,0.242171,1.000000
R0.5_x0_y15,0.5,0.0,15.0,uniform,-2.115268,-4.557724,-7.213048,0.000000,,1.000000,1.000000,1.000000
R0.5_x0_y15,0.5,0.0,15.0,focus_opt,-3.716765,-5.254594,-6.446090,-3.774380,3.716765,0.676818,0.192501,1.000000
R0.8_x0_y0,0.8,0.0,0.0,uniform,-3.356734,-5.610373,-11.146951,0.000000,,1.000000,1.000000,1.000000
R0.8_x0_y0,0.8,0.0,0.0,focus_opt,-5.385741,-7.700825,-8.319295,-5.484525,5.385741,0.592114,0.131415,0.880491
R0.8_x15_y0,0.8,15.0,0.0,uniform,-2.128681,-4.417793,-7.156424,0.000000,,1.000000,1.000000,1.000000
R0.8_x15_y0,0.8,15.0,0.0,focus_opt,-3.730542,-5.311491,-6.322359,-3.288139,3.730542,0.735836,0.226266,1.000000
R0.8_x-15_y0,0.8,-15.0,0.0,uniform,-2.128346,-4.289807,-7.049391,0.000000,,1.000000,1.000000,1.000000
R0.8_x-15_y0,0.8,-15.0,0.0,focus_opt,-3.717009,-5.252419,-6.336251,-3.445308,3.717009,0.719640,0.248421,1.000000
R0.8_x0_y15,0.8,0.0,15.0,uniform,-2.128629,-4.443815,-7.195319,0.000000,,1.000000,1.000000,1.000000
R0.8_x0_y15,0.8,0.0,15.0,focus_opt,-3.723161,-5.268394,-6.439311,-3.798290,3.723161,0.678872,0.206944,1.000000
R1.0_x0_y0,1.0,0.0,0.0,uniform,-3.362551,-5.620977,-11.226438,0.000000,,1.000000,1.000000,1.000000
R1.0_x0_y0,1.0,0.0,0.0,focus_opt,-5.392841,-7.735814,-8.342131,-4.386014,5.392841,0.670237,0.149280,0.998685
R1.0_x15_y0,1.0,15.0,0.0,uniform,-2.131764,-4.394500,-7.150607,0.000000,,1.000000,1.000000,1.000000
R1.0_x15_y0,1.0,15.0,0.0,focus_opt,-3.729276,-5.300949,-6.316022,-3.913298,3.729276,0.684939,0.213756,0.929638
R1.0_x-15_y0,1.0,-15.0,0.0,uniform,-2.131488,-4.300266,-7.038075,0.000000,,1.000000,1.000000,1.000000
R1.0_x-15_y0,1.0,-15.0,0.0,focus_opt,-3.715396,-5.261477,-6.350592,-3.355095,3.715396,0.727905,0.247660,1.000000
R1.0_x0_y15,1.0,0.0,15.0,uniform,-2.131727,-4.411893,-7.197184,0.000000,,1.000000,1.000000,1.000000
R1.0_x0_y15,1.0,0.0,15.0,focus_opt,-3.725735,-5.274475,-6.431838,-3.802351,3.725735,0.680044,0.210256,1.000000
