case,steer_x_deg,steer_y_deg,method,max_sidelobe_db,p99_sidelobe_db,p95_sidelobe_db,target_gain_loss_db,mean_amp,min_amp,max_amp
broadside,0.0,0.0,uniform,-8.304556,-11.953595,-16.149051,0.000000,1.000000,1.000000,1.000000
broadside,0.0,0.0,phase_amp_de,-8.899179,-11.947456,-15.682313,-1.938200,0.800336,0.437078,0.999514
steer_x15,15.0,0.0,uniform,-3.999056,-7.519074,-12.922390,0.000000,1.000000,1.000000,1.000000
steer_x15,15.0,0.0,phase_amp_de,-4.915519,-7.190788,-12.195959,-1.938200,0.810821,0.406423,0.999990
steer_x-15,-15.0,0.0,uniform,-3.999056,-7.519074,-12.922390,0.000000,1.000000,1.000000,1.000000
steer_x-15,-15.0,0.0,phase_amp_de,-4.940050,-7.264293,-12.283540,-1.938200,0.809800,0.367196,1.000000
steer_y15,0.0,15.0,uniform,-2.497925,-7.502129,-13.414942,0.000000,1.000000,1.000000,1.000000
steer_y15,0.0,15.0,phase_amp_de,-4.133176,-6.984630,-12.775571,-1.938200,0.809174,0.279137,0.997920
steer_y-15,0.0,-15.0,uniform,-2.497925,-7.502129,-13.414942,0.000000,1.000000,1.000000,1.000000
steer_y-15,0.0,-15.0,phase_amp_de,-4.256306,-7.014560,-12.882453,-1.938200,0.810054,0.413701,1.000000
