case,distance_m,theta_x_deg,theta_y_deg,method,max_sidelobe_db,p99_sidelobe_db,p95_sidelobe_db,mean_amp,min_amp,max_amp
R0.5_x0_y0,0.5,0.0,0.0,uniform,-10.631568,-11.467206,-14.386808,1.000000,1.000000,1.000000
R0.5_x0_y0,0.5,0.0,0.0,optimized,-12.792418,-13.677692,-14.658598,0.521069,0.003095,1.000000
R0.5_x15_y0,0.5,15.0,0.0,uniform,-10.508285,-11.986679,-14.590102,1.000000,1.000000,1.000000
R0.5_x15_y0,0.5,15.0,0.0,optimized,-12.920882,-14.035066,-15.294167,0.521069,0.003095,1.000000
R0.5_x30_y0,0.5,30.0,0.0,uniform,-11.303052,-13.011281,-15.458465,1.000000,1.000000,1.000000
R0.5_x30_y0,0.5,30.0,0.0,optimized,-13.002938,-14.048918,-15.473975,0.521069,0.003095,1.000000
R1.0_x0_y0,1.0,0.0,0.0,uniform,-8.860179,-9.945606,-12.328017,1.000000,1.000000,1.000000
R1.0_x0_y0,1.0,0.0,0.0,optimized,-12.474745,-12.802782,-14.037563,0.521069,0.003095,1.000000
R1.0_x15_y0,1.0,15.0,0.0,uniform,-10.117567,-10.861176,-12.468384,1.000000,1.000000,1.000000
R1.0_x15_y0,1.0,15.0,0.0,optimized,-12.527605,-13.312660,-14.556041,0.521069,0.003095,1.000000
R1.0_x30_y0,1.0,30.0,0.0,uniform,-9.550345,-10.655072,-13.162782,1.000000,1.000000,1.000000
R1.0_x30_y0,1.0,30.0,0.0,optimized,-12.987537,-13.716063,-14.482170,0.521069,0.003095,1.000000
R2.0_x0_y0,2.0,0.0,0.0,uniform,-9.148915,-10.205860,-11.909366,1.000000,1.000000,1.000000
R2.0_x0_y0,2.0,0.0,0.0,optimized,-12.550829,-13.148685,-13.953780,0.521069,0.003095,1.000000
R2.0_x15_y0,2.0,15.0,0.0,uniform,-9.859983,-10.675273,-12.701101,1.000000,1.000000,1.000000
R2.0_x15_y0,2.0,15.0,0.0,optimized,-12.563262,-13.319177,-14.139911,0.521069,0.003095,1.000000
R2.0_x30_y0,2.0,30.0,0.0,uniform,-9.300588,-11.312337,-13.149182,1.000000,1.000000,1.000000
R2.0_x30_y0,2.0,30.0,0.0,optimized,-12.642874,-13.090081,-14.310120,0.521069,0.003095,1.000000
R3.0_x0_y0,3.0,0.0,0.0,uniform,-8.958523,-10.296513,-12.617366,1.000000,1.000000,1.000000
R3.0_x0_y0,3.0,0.0,0.0,optimized,-12.541848,-13.066342,-14.067064,0.521069,0.003095,1.000000
R3.0_x15_y0,3.0,15.0,0.0,uniform,-10.013955,-10.724105,-13.022498,1.000000,1.000000,1.000000
R3.0_x15_y0,3.0,15.0,0.0,optimized,-12.647000,-13.152453,-14.317211,0.521069,0.003095,1.000000
R3.0_x30_y0,3.0,30.0,0.0,uniform,-10.034088,-11.149793,-13.063196,1.000000,1.000000,1.000000
R3.0_x30_y0,3.0,30.0,0.0,optimized,-12.510200,-12.978570,-14.207748,0.521069,0.003095,1.000000
R5.0_x0_y0,5.0,0.0,0.0,uniform,-9.251120,-10.498331,-12.905317,1.000000,1.000000,1.000000
R5.0_x0_y0,5.0,0.0,0.0,optimized,-12.590521,-13.111774,-14.132471,0.521069,0.003095,1.000000
R5.0_x15_y0,5.0,15.0,0.0,uniform,-9.568194,-10.699665,-12.890489,1.000000,1.000000,1.000000
R5.0_x15_y0,5.0,15.0,0.0,optimized,-12.529481,-13.081782,-14.022237,0.521069,0.003095,1.000000
R5.0_x30_y0,5.0,30.0,0.0,uniform,-10.028082,-11.471129,-13.080439,1.000000,1.000000,1.000000
R5.0_x30_y0,5.0,30.0,0.0,optimized,-12.489405,-13.001995,-14.104282,0.521069,0.003095,1.000000
