section,case,method,metric,value
circular_farfield,broadside,phase_only,target_theta_deg,0.0
circular_farfield,broadside,phase_only,peak_theta_deg,0.0
circular_farfield,broadside,phase_only,peak_phi_deg,0.0
circular_farfield,broadside,phase_only,pointing_error_deg,0.0
circular_farfield,broadside,phase_only,max_outside_8deg_db,-13.527480109931162
circular_farfield,steer20,phase_only,target_theta_deg,20.0
circular_farfield,steer20,phase_only,peak_theta_deg,19.70833333333333
circular_farfield,steer20,phase_only,peak_phi_deg,0.0
circular_farfield,steer20,phase_only,pointing_error_deg,0.2916666666668733
circular_farfield,steer20,phase_only,max_outside_8deg_db,-4.6968007349470104
circular_farfield,focus200,phase_only,target_theta_deg,0.0
circular_farfield,focus200,phase_only,peak_theta_deg,0.0
circular_farfield,focus200,phase_only,peak_phi_deg,0.0
circular_farfield,focus200,phase_only,pointing_error_deg,0.0
circular_farfield,focus200,phase_only,max_outside_8deg_db,-5.831723070306998
circular_farfield,offset40_200,phase_only,target_theta_deg,11.309932474020213
circular_farfield,offset40_200,phase_only,peak_theta_deg,12.375
circular_farfield,offset40_200,phase_only,peak_phi_deg,180.0
circular_farfield,offset40_200,phase_only,pointing_error_deg,23.684932474020226
circular_farfield,offset40_200,phase_only,max_outside_8deg_db,8.686661818707667e-12
nearfield_z200,focus200,phase_only,pressure_psl_db,-11.04485972677933
nearfield_z200,focus200,phase_only,audio_source_psl_proxy_db,-22.08971945355866
nearfield_z200,focus200,phase_only,pressure_p99_5_db,-12.043805529357748
nearfield_z200,focus200,phase_only,focus_error_mm,0.0
nearfield_z200,focus200,phase_only,pressure_fwhm_x_mm,14.938075206660788
nearfield_z200,focus200,phase_only,pressure_fwhm_y_mm,14.938265526540269
nearfield_z200,focus200,phase_only,audio_source_fwhm_x_mm,10.663470600707798
nearfield_z200,focus200,phase_only,audio_source_fwhm_y_mm,10.663605894611495
nearfield_z200,focus200,phase_only,target_gain_drop_db,8.686661818707667e-12
nearfield_z200,focus200,rls_amp,pressure_psl_db,-12.033622014875213
nearfield_z200,focus200,rls_amp,audio_source_psl_proxy_db,-24.067244029750427
nearfield_z200,focus200,rls_amp,pressure_p99_5_db,-13.03478113480449
nearfield_z200,focus200,rls_amp,focus_error_mm,0.0
nearfield_z200,focus200,rls_amp,pressure_fwhm_x_mm,16.93605480765352
nearfield_z200,focus200,rls_amp,pressure_fwhm_y_mm,16.91030431467763
nearfield_z200,focus200,rls_amp,audio_source_fwhm_x_mm,12.073744574475112
nearfield_z200,focus200,rls_amp,audio_source_fwhm_y_mm,12.055735058395534
nearfield_z200,focus200,rls_amp,target_gain_drop_db,-2.8533500713619397
nearfield_z200,offset40_200,phase_only,pressure_psl_db,-7.986952686158522
nearfield_z200,offset40_200,phase_only,audio_source_psl_proxy_db,-15.973905372317043
nearfield_z200,offset40_200,phase_only,pressure_p99_5_db,-9.59138448484746
nearfield_z200,offset40_200,phase_only,focus_error_mm,1.0
nearfield_z200,offset40_200,phase_only,pressure_fwhm_x_mm,15.726824448716908
nearfield_z200,offset40_200,phase_only,pressure_fwhm_y_mm,15.183046932503025
nearfield_z200,offset40_200,phase_only,audio_source_fwhm_x_mm,11.285469061981047
nearfield_z200,offset40_200,phase_only,audio_source_fwhm_y_mm,10.83405583294294
nearfield_z200,offset40_200,phase_only,target_gain_drop_db,8.686661818707667e-12
nearfield_z200,offset40_200,rls_amp,pressure_psl_db,-10.926927664235118
nearfield_z200,offset40_200,rls_amp,audio_source_psl_proxy_db,-21.853855328470235
nearfield_z200,offset40_200,rls_amp,pressure_p99_5_db,-11.651006880751208
nearfield_z200,offset40_200,rls_amp,focus_error_mm,1.0
nearfield_z200,offset40_200,rls_amp,pressure_fwhm_x_mm,17.685396720174637
nearfield_z200,offset40_200,rls_amp,pressure_fwhm_y_mm,16.970618128656973
nearfield_z200,offset40_200,rls_amp,audio_source_fwhm_x_mm,12.62939501024038
nearfield_z200,offset40_200,rls_amp,audio_source_fwhm_y_mm,12.10470387883269
nearfield_z200,offset40_200,rls_amp,target_gain_drop_db,-2.853350071360185
